XGB1234kb4,ID,target
0.959825634956,3,1
0.718074321747,4,1
0.922568798065,5,1
0.968974173069,6,1
0.977957904339,8,1
0.708107888699,9,0
0.613814353943,12,0
0.943547189236,21,1
0.443526625633,22,0
0.624089241028,23,1
0.958175361156,24,1
0.879227697849,27,1
0.792292714119,28,0
0.987670183182,30,1
0.546260416508,31,1
0.935029029846,32,1
0.777912318707,33,1
0.913731217384,34,1
0.933939695358,35,1
0.896598339081,36,1
0.974612891674,37,1
0.973910331726,39,1
0.349915266037,40,1
0.995141506195,42,1
0.792462527752,43,1
0.988955140114,46,1
0.942326962948,51,1
0.97211933136,52,1
0.838635444641,54,1
0.721607744694,55,0
0.986715018749,57,1
0.956312298775,58,1
0.991321980953,61,1
0.805766105652,62,1
0.949280023575,63,1
0.222227543592,67,0
0.993074059486,73,1
0.942079782486,74,1
0.992359697819,75,1
0.928949356079,77,1
0.561941802502,78,0
0.846352875233,79,0
0.813003718853,81,1
0.985386371613,84,0
0.977866947651,88,1
0.920660495758,90,1
0.972117960453,91,1
0.974131166935,92,0
0.668425321579,93,0
0.848529338837,94,1
0.995314478874,95,1
0.818158209324,96,1
0.952722787857,98,1
0.901778519154,100,1
0.671809673309,105,1
0.984654009342,108,1
0.666201174259,110,1
0.607125341892,112,1
0.994999170303,115,1
0.803812026978,116,0
0.88237965107,117,1
0.976124405861,121,1
0.955137312412,122,1
0.0620845332742,124,0
0.761178195477,125,0
0.901934444904,126,1
0.69015198946,127,1
0.639185488224,130,0
0.946969926357,132,1
0.515480339527,135,0
0.901779413223,138,1
0.781901180744,141,0
0.760393559933,143,1
0.677686154842,145,1
0.546175479889,149,1
0.940777778625,153,1
0.604171156883,154,0
0.72159743309,156,1
0.904410481453,157,1
0.90925937891,162,1
0.839082837105,163,1
0.694911003113,164,1
0.768499076366,167,0
0.740742862225,168,1
0.367097437382,169,0
0.573533475399,172,0
0.530049443245,173,0
0.380360126495,176,0
0.792279422283,177,1
0.590249300003,178,0
0.956843197346,182,1
0.926915049553,183,1
