ID,XGB1234kb4c,target
3,0.856553147575,1
4,0.737938909506,1
5,0.802245789145,1
6,0.953240477544,1
8,0.909199237369,1
9,0.695727084769,0
12,0.458904109589,0
21,0.898395721925,1
22,0.700537955768,0
23,0.708730741012,1
24,0.80487804878,1
27,0.86930545183,1
28,0.700537955768,0
30,0.927536231884,1
31,0.739804469274,1
32,0.801229508197,1
33,0.651553468208,1
34,0.804593373494,1
35,0.830909090909,1
36,0.872311212815,1
37,0.983761598858,1
39,0.920131845842,1
40,0.363416988417,1
42,0.919546436285,1
43,0.741778651808,1
46,0.953240477544,1
51,0.80381348274,1
52,0.823529411765,1
54,0.7794995735,1
55,0.700537955768,0
57,0.960401267159,1
58,0.909199237369,1
61,0.953240477544,1
62,0.698912198912,1
63,0.946870451237,1
67,0.356748224152,0
73,0.982608695652,1
74,0.852941176471,1
75,0.981994459834,1
77,0.861928616155,1
78,0.621125143513,0
79,0.690154440154,0
81,0.566570188133,1
84,0.953240477544,0
88,0.833333333333,1
90,0.80487804878,1
91,0.946870451237,1
92,0.851851851852,0
93,0.641911764706,0
94,0.821153846154,1
95,0.983761598858,1
96,0.740109140518,1
98,0.911007025761,1
100,0.866063348416,1
105,0.777067153952,1
108,0.916472778036,1
110,0.615428571429,1
112,0.636897590362,1
115,0.98752228164,1
116,0.697980272428,0
117,0.840873634945,1
121,0.912870571222,1
122,0.86620795107,1
124,0.0679012345679,0
125,0.623724489796,0
126,0.844142259414,1
127,0.535405872193,1
130,0.585742771685,0
132,0.895597210113,1
135,0.533632286996,0
138,0.837927514038,1
141,0.814891846922,0
143,0.700537955768,1
145,0.658536585366,1
149,0.491264559068,1
153,0.737938909506,1
154,0.505376344086,0
156,0.698912198912,1
157,0.867699836868,1
162,0.819090909091,1
163,0.686285714286,1
164,0.585742771685,1
167,0.56830008673,0
168,0.688014101058,1
169,0.410470409712,0
172,0.708730741012,0
173,0.565197428834,0
176,0.522316043426,0
177,0.651553468208,1
178,0.698912198912,0
182,0.919764011799,1
183,0.917875069716,1
186,0.837927514038,1
189,0.781141034201,1
194,0.895597210113,1
195,0.88,1
199,0.638603952965,0
200,0.798824593128,1
201,0.983761598858,1
202,0.700074515648,1
203,0.301369863014,0
204,0.785223367698,1
206,0.72961249277,0
207,0.802245789145,1
208,0.136088709677,0
209,0.651553468208,1
210,0.812834224599,1
212,0.804593373494,1
215,0.618650217707,0
216,0.836571428571,1
219,0.916472778036,1
220,0.543416572077,1
223,0.86962276638,1
224,0.931888544892,1
226,0.746397694525,1
227,0.764117647059,1
228,0.894568690096,1
230,0.099173553719,0
231,0.547037422037,0
232,0.403174603175,0
233,0.856553147575,1
234,0.737754452926,1
235,0.872311212815,1
240,0.446614583333,0
241,0.974598930481,1
243,0.585742771685,0
244,0.563431247339,0
249,0.941292356186,1
250,0.844142259414,1
251,0.615428571429,0
252,0.638603952965,1
253,0.812834224599,0
256,0.690154440154,1
258,0.687169811321,0
260,0.644168962351,0
261,0.919546436285,1
262,0.862208987547,1
263,0.698912198912,1
265,0.460024600246,1
266,0.861928616155,1
267,0.918715015819,1
268,0.971553610503,1
269,0.897851819377,1
271,0.956471271039,1
273,0.0679012345679,0
276,0.980553477936,1
277,0.0679012345679,0
279,0.72961249277,0
285,0.565197428834,0
292,0.917875069716,1
293,0.953240477544,1
296,0.812330009066,1
298,0.913922691482,1
300,0.973938942666,0
301,0.686654135338,1
302,0.926755447942,1
303,0.821153846154,1
304,0.80381348274,0
306,0.919764011799,1
309,0.917875069716,1
310,0.870615486433,1
311,0.941329856584,1
312,0.177159590044,0
318,0.909210526316,1
320,0.421708185053,0
321,0.741778651808,1
325,0.983271375465,1
328,0.846220677672,1
332,0.953542872898,1
333,0.821153846154,1
334,0.460024600246,0
335,0.458904109589,0
339,0.781141034201,0
341,0.533632286996,1
342,0.4888996139,1
343,0.356748224152,1
344,0.785966460724,0
346,0.753571428571,1
349,0.61316872428,1
351,0.816239316239,1
353,0.840114887506,1
354,0.911007025761,1
355,0.7794995735,1
360,0.533519553073,0
362,0.872311212815,1
365,0.918715015819,1
366,0.840114887506,1
367,0.743498817967,1
369,0.617315738655,0
370,0.893343419062,1
371,0.983401430031,1
372,0.706445993031,1
373,0.950943396226,1
374,0.686654135338,1
375,0.700980392157,1
377,0.804593373494,1
379,0.745555555556,0
380,0.781141034201,1
381,0.647940074906,1
383,0.812884784521,1
386,0.853275794429,1
387,0.741778651808,1
390,0.973938942666,1
393,0.786030428769,0
394,0.743243243243,1
398,0.698912198912,1
400,0.0621468926554,0
401,0.741007194245,1
402,0.837927514038,1
403,0.973938942666,1
405,0.764198782961,1
406,0.862208987547,1
408,0.773014959724,0
411,0.56830008673,1
412,0.563431247339,1
415,0.777932636469,1
417,0.895597210113,1
421,0.791117933079,1
424,0.737938909506,0
425,0.698912198912,0
426,0.812884784521,1
428,0.0369565217391,0
435,0.651553468208,0
438,0.91784989858,0
439,0.848857644991,1
440,0.64683600713,0
441,0.662790697674,1
442,0.410470409712,0
443,0.960163432074,1
444,0.919764011799,1
445,0.958588957055,0
446,0.917875069716,0
447,0.690154440154,0
448,0.976298997265,1
449,0.737754452926,1
450,0.866063348416,1
453,0.960163432074,1
455,0.698912198912,0
456,0.983789954338,1
459,0.149425287356,0
464,0.687169811321,0
466,0.740109140518,1
468,0.976170912079,1
469,0.0357894736842,0
470,0.839312406577,1
471,0.912870571222,1
472,0.777932636469,1
475,0.844142259414,1
476,0.86930545183,1
477,0.921836228288,0
478,0.912858249419,1
479,0.428018575851,0
482,0.823529411765,1
486,0.690154440154,1
488,0.737754452926,1
489,0.623724489796,0
493,0.662790697674,1
494,0.578947368421,0
495,0.764117647059,0
500,0.974358974359,1
504,0.874810318665,1
505,0.562852538276,0
512,0.781141034201,1
514,0.872311212815,1
516,0.621125143513,0
517,0.85039817975,1
518,0.501796945193,0
519,0.764117647059,1
520,0.781141034201,1
524,0.72961249277,0
526,0.743498817967,1
527,0.866063348416,0
528,0.848857644991,1
532,0.808080808081,1
536,0.80381348274,1
538,0.798824593128,1
539,0.585742771685,1
540,0.646195326543,1
